datetime,month,day,hour,t,Station,x,Rainfall_Aries,Rainfall_Boso,Rainfall_Campana,Rainfall_Nangka,Rainfall_Oro,Waterlevel,Discharge,Cross_Section,Velocity,fric_coeff,slope
2016-06-27 00:00:00,6,27,0,86400.0,Montalban,0,0,1,0,0,0,20.56,9.283943659161803,616.8,0.0150517893306773,0.035,0.002
2016-06-27 00:00:00,6,27,0,86400.0,Sto_Nino,14420,0,1,0,0,0,12.21,21.78037489579036,805.86,0.0270274922390866,0.033,0.0006666666666666
2016-06-27 01:00:00,6,27,1,90000.0,Montalban,0,1,0,0,0,0,20.56,9.283943659161803,616.8,0.0150517893306773,0.035,0.002
2016-06-27 01:00:00,6,27,1,90000.0,Sto_Nino,14420,1,0,0,0,0,12.19,21.280072207274912,804.54,0.0264499865852225,0.033,0.0006666666666666
2016-06-27 02:00:00,6,27,2,93600.0,Montalban,0,0,0,0,0,0,20.56,9.283943659161803,616.8,0.0150517893306773,0.035,0.002
2016-06-27 02:00:00,6,27,2,93600.0,Sto_Nino,14420,0,0,0,0,0,12.16,20.546968487027627,802.5600000000001,0.0256017848971137,0.033,0.0006666666666666
2016-06-27 03:00:00,6,27,3,97200.0,Montalban,0,0,0,0,0,0,20.55,9.191292912702774,616.5,0.0149088287310669,0.035,0.002
2016-06-27 03:00:00,6,27,3,97200.0,Sto_Nino,14420,0,0,0,0,0,12.14,20.069609715740416,801.24,0.0250481874541216,0.033,0.0006666666666666
2016-06-27 04:00:00,6,27,4,100800.0,Montalban,0,0,0,0,0,0,20.55,9.191292912702774,616.5,0.0149088287310669,0.035,0.002
2016-06-27 04:00:00,6,27,4,100800.0,Sto_Nino,14420,0,0,0,0,0,12.12,19.60120234595522,799.92,0.0245039533277768,0.033,0.0006666666666666
2016-06-27 05:00:00,6,27,5,104400.0,Montalban,0,0,0,0,0,0,20.55,9.191292912702774,616.5,0.0149088287310669,0.035,0.002
2016-06-27 05:00:00,6,27,5,104400.0,Sto_Nino,14420,0,0,0,0,0,12.1,19.141618999995096,798.6,0.0239689694465252,0.033,0.0006666666666666
2016-06-27 06:00:00,6,27,6,108000.0,Montalban,0,0,0,0,0,0,20.55,9.191292912702774,616.5,0.0149088287310669,0.035,0.002
2016-06-27 06:00:00,6,27,6,108000.0,Sto_Nino,14420,0,0,0,0,0,12.07,18.46851341548696,796.62,0.0231835924474491,0.033,0.0006666666666666
2016-06-27 07:00:00,6,27,7,111600.0,Montalban,0,0,0,0,0,0,20.55,9.191292912702774,616.5,0.0149088287310669,0.035,0.002
2016-06-27 07:00:00,6,27,7,111600.0,Sto_Nino,14420,0,0,0,0,0,12.08,18.690733531405485,797.28,0.0234431235342733,0.033,0.0006666666666666
2016-06-27 08:00:00,6,27,8,115200.0,Montalban,0,0,0,0,0,0,20.55,9.191292912702774,616.5,0.0149088287310669,0.035,0.002
2016-06-27 08:00:00,6,27,8,115200.0,Sto_Nino,14420,0,0,0,0,0,12.06,18.24842101872513,795.96,0.0229263041091576,0.033,0.0006666666666666
2016-06-27 09:00:00,6,27,9,118800.0,Montalban,0,0,0,0,0,0,20.55,9.191292912702774,616.5,0.0149088287310669,0.035,0.002
2016-06-27 09:00:00,6,27,9,118800.0,Sto_Nino,14420,0,0,0,0,0,12.05,18.030440916320984,795.3000000000001,0.022671244708061,0.033,0.0006666666666666
2016-06-27 10:00:00,6,27,10,122400.0,Montalban,0,0,0,0,0,0,20.55,9.191292912702774,616.5,0.0149088287310669,0.035,0.002
2016-06-27 10:00:00,6,27,10,122400.0,Sto_Nino,14420,0,0,0,0,0,12.05,18.030440916320984,795.3000000000001,0.022671244708061,0.033,0.0006666666666666
2016-06-27 11:00:00,6,27,11,126000.0,Montalban,0,0,0,0,0,0,20.55,9.191292912702774,616.5,0.0149088287310669,0.035,0.002
2016-06-27 11:00:00,6,27,11,126000.0,Sto_Nino,14420,0,0,0,0,0,12.04,17.814557759259355,794.64,0.0224184004823056,0.033,0.0006666666666666
2016-06-27 12:00:00,6,27,12,129600.0,Montalban,0,0,0,0,0,0,20.55,9.191292912702774,616.5,0.0149088287310669,0.035,0.002
2016-06-27 12:00:00,6,27,12,129600.0,Sto_Nino,14420,0,0,0,0,0,12.04,17.814557759259355,794.64,0.0224184004823056,0.033,0.0006666666666666
2016-06-27 13:00:00,6,27,13,133200.0,Montalban,0,0,0,0,0,0,20.55,9.191292912702774,616.5,0.0149088287310669,0.035,0.002
2016-06-27 13:00:00,6,27,13,133200.0,Sto_Nino,14420,0,0,0,0,0,12.08,18.690733531405485,797.28,0.0234431235342733,0.033,0.0006666666666666
2016-06-27 14:00:00,6,27,14,136800.0,Montalban,0,0,0,0,0,0,20.55,9.191292912702774,616.5,0.0149088287310669,0.035,0.002
2016-06-27 14:00:00,6,27,14,136800.0,Sto_Nino,14420,0,0,0,0,0,12.11,19.3703155829342,799.26,0.0242353121423994,0.033,0.0006666666666666
2016-06-27 15:00:00,6,27,15,140400.0,Montalban,0,0,0,1,0,0,20.55,9.191292912702774,616.5,0.0149088287310669,0.035,0.002
